code_prefix,country_id,country_code,country_title,region_title,current_rate,billing_term,last_updated,rate_status
"35528450","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528523","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528570","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528623","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528643","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528680","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528763","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528790","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528823","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528850","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528870","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528890","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528923","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528950","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528970","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35528990","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529140","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529190","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529240","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529280","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529340","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529370","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529390","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529423","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529460","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529490","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529523","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529550","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529570","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529590","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529623","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529650","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529680","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
"35529723","2","ALB","Albania","","0.3526","30/6","2021-01-01","lower",
